uniprot_id	gene_symbol	protein_name	mitocarta_score	sub_mito_localization	pathways	is_matrix	is_im	is_ims	is_om
P08559	PDHA1	pyruvate dehydrogenase E1 subunit alpha 1	42.5705	Matrix	Metabolism > Carbohydrate metabolism > Pyruvate metabolism	1	0	0	0
P52815	MRPL12	mitochondrial ribosomal protein L12	42.0393	Matrix	Mitochondrial central dogma > mtRNA metabolism > Transcription | Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
Q86U28	ISCA2	iron-sulfur cluster assembly 2	41.9677	Matrix	Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins	1	0	0	0
O75439	PMPCB	peptidase, mitochondrial processing subunit beta	41.6397	Matrix	Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases	1	0	0	0
Q02218	OGDH	oxoglutarate dehydrogenase	40.5677	Matrix	Metabolism > Carbohydrate metabolism > TCA cycle	1	0	0	0
P11177	PDHB	pyruvate dehydrogenase E1 subunit beta	40.5677	Matrix	Metabolism > Carbohydrate metabolism > Pyruvate metabolism	1	0	0	0
P82673	MRPS35	mitochondrial ribosomal protein S35	39.6435	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
Q96EL3	MRPL53	mitochondrial ribosomal protein L53	39.3103	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
P11182	DBT	dihydrolipoamide branched chain transacylase E2	39.2448	Matrix	Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex	1	0	0	0
P40926	MDH2	malate dehydrogenase 2	38.3734	Matrix	Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Carbohydrate metabolism > TCA cycle	1	0	0	0
Q92552	MRPS27	mitochondrial ribosomal protein S27	38.3207	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
O75390	CS	citrate synthase	37.826	Matrix	Metabolism > Carbohydrate metabolism > TCA cycle	1	0	0	0
Q9HAV7	GRPEL1	GrpE like 1, mitochondrial	37.8199	Matrix	Protein import, sorting and homeostasis > Protein import and sorting > Import motor | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis	1	0	0	0
P10515	DLAT	dihydrolipoamide S-acetyltransferase	37.7551	Matrix	Metabolism > Carbohydrate metabolism > Pyruvate metabolism	1	0	0	0
P42704	LRPPRC	leucine rich pentatricopeptide repeat containing	37.7054	Matrix	Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay | Mitochondrial central dogma > Translation	1	0	0	0
P36957	DLST	dihydrolipoamide S-succinyltransferase	37.6758	Matrix	Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Amino acid metabolism > Lysine metabolism	1	0	0	0
O00330	PDHX	pyruvate dehydrogenase complex component X	37.6758	Matrix	Metabolism > Carbohydrate metabolism > Pyruvate metabolism	1	0	0	0
Q96RP9	GFM1	G elongation factor mitochondrial 1	37.4426	Matrix	Mitochondrial central dogma > Translation > Translation factors	1	0	0	0
Q9H2W6	MRPL46	mitochondrial ribosomal protein L46	36.7746	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
Q9Y3D9	MRPS23	mitochondrial ribosomal protein S23	36.0922	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
P07954	FH	fumarate hydratase	35.7616	Matrix	Metabolism > Carbohydrate metabolism > TCA cycle	1	0	0	0
Q10713	PMPCA	peptidase, mitochondrial processing subunit alpha	35.653	Matrix	Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases	1	0	0	0
Q5VUM1	SDHAF4	succinate dehydrogenase complex assembly factor 4	35.5098	Matrix	OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors	1	0	0	0
Q9BUE6	ISCA1	iron-sulfur cluster assembly 1	35.264	Matrix	Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins	1	0	0	0
Q9P2R7	SUCLA2	succinate-CoA ligase ADP-forming subunit beta	34.9705	Matrix	Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing	1	0	0	0
Q9NSE4	IARS2	isoleucyl-tRNA synthetase 2, mitochondrial	34.7064	Matrix	Mitochondrial central dogma > Translation > mt-tRNA synthetases	1	0	0	0
P82914	MRPS15	mitochondrial ribosomal protein S15	34.6309	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
P50213	IDH3A	isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha	34.6301	Matrix	Metabolism > Carbohydrate metabolism > TCA cycle	1	0	0	0
Q9BQ48	MRPL34	mitochondrial ribosomal protein L34	34.3813	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
Q5T653	MRPL2	mitochondrial ribosomal protein L2	34.3013	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
P30084	ECHS1	enoyl-CoA hydratase, short chain 1	33.7065	Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism	1	0	0	0
P13804	ETFA	electron transfer flavoprotein subunit alpha	33.492	Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Electron carriers > Q-linked reactions, other	1	0	0	0
O43837	IDH3B	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta	32.7553	Matrix	Metabolism > Carbohydrate metabolism > TCA cycle	1	0	0	0
Q15031	LARS2	leucyl-tRNA synthetase 2, mitochondrial	32.7536	Matrix	Mitochondrial central dogma > Translation > mt-tRNA synthetases	1	0	0	0
P16219	ACADS	acyl-CoA dehydrogenase short chain	32.6104	Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation	1	0	0	0
Q13825	AUH	AU RNA binding methylglutaconyl-CoA hydratase	32.2168	Matrix	Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism	1	0	0	0
P53597	SUCLG1	succinate-CoA ligase GDP/ADP-forming subunit alpha	32.1445	Matrix	Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing	1	0	0	0
Q8N983	MRPL43	mitochondrial ribosomal protein L43	31.8312	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
Q8NFV4	ABHD11	abhydrolase domain containing 11	31.7324	Matrix	Metabolism > Carbohydrate metabolism > TCA-associated	1	0	0	0
P36776	LONP1	lon peptidase 1, mitochondrial	31.5043	Matrix	Protein import, sorting and homeostasis > Protein homeostasis > Proteases	1	0	0	0
P09622	DLD	dihydrolipoamide dehydrogenase	31.2307	Matrix	Metabolism > Carbohydrate metabolism > Pyruvate metabolism | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Amino acid metabolism > Glycine cleavage system	1	0	0	0
Q96DC8	ECHDC3	enoyl-CoA hydratase domain containing 3	31.1711	Matrix	0	1	0	0	0
Q7Z7H8	MRPL10	mitochondrial ribosomal protein L10	30.9719	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
Q96E11	MRRF	mitochondrial ribosome recycling factor	30.7726	Matrix	Mitochondrial central dogma > Translation > Translation factors	1	0	0	0
P11310	ACADM	acyl-CoA dehydrogenase medium chain	30.6075	Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation	1	0	0	0
Q99798	ACO2	aconitase 2	30.2787	Matrix	Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Fe-S-containing proteins	1	0	0	0
Q8IYB8	SUPV3L1	Suv3 like RNA helicase	30.2238	Matrix	Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay	1	0	0	0
P46199	MTIF2	mitochondrial translational initiation factor 2	30.1806	Matrix	Mitochondrial central dogma > Translation > Translation factors	1	0	0	0
Q6NVY1	HIBCH	3-hydroxyisobutyryl-CoA hydrolase	29.7511	Matrix	Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism	1	0	0	0
Q9Y399	MRPS2	mitochondrial ribosomal protein S2	29.6278	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
P38646	HSPA9	heat shock protein family A (Hsp70) member 9	29.5541	Matrix	Metabolism > Metals and cofactors > Fe-S cluster biosynthesis	1	0	0	0
P30048	PRDX3	peroxiredoxin 3	29.4787	Matrix	Metabolism > Detoxification > ROS and glutathione metabolism	1	0	0	0
Q8N442	GUF1	GUF1 homolog, GTPase	29.2547	Matrix	Mitochondrial central dogma > Translation	1	0	0	0
Q9HD34	LYRM4	LYR motif containing 4	29.009	Matrix	Metabolism > Metals and cofactors > Fe-S cluster biosynthesis	1	0	0	0
Q9NX20	MRPL16	mitochondrial ribosomal protein L16	28.9266	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
Q9NQ50	MRPL40	mitochondrial ribosomal protein L40	28.9054	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
P51553	IDH3G	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma	28.8516	Matrix	Metabolism > Carbohydrate metabolism > TCA cycle	1	0	0	0
Q9NX18	SDHAF2	succinate dehydrogenase complex assembly factor 2	28.7556	Matrix	OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors	1	0	0	0
P30042	GATD3A	glutamine amidotransferase like class 1 domain containing 3A	28.6694	Matrix	0	1	0	0	0
Q99757	TXN2	thioredoxin 2	28.4589	Matrix	Metabolism > Vitamin metabolism > Vitamin C metabolism | Metabolism > Detoxification > ROS and glutathione metabolism	1	0	0	0
Q9NVS2	MRPS18A	mitochondrial ribosomal protein S18A	28.4066	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
Q9BYD6	MRPL1	mitochondrial ribosomal protein L1	28.231	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
P04179	SOD2	superoxide dismutase 2	28.1817	Matrix	Metabolism > Detoxification > ROS and glutathione metabolism	1	0	0	0
Q16740	CLPP	caseinolytic mitochondrial matrix peptidase proteolytic subunit	28.0803	Matrix	Protein import, sorting and homeostasis > Protein homeostasis > Proteases	1	0	0	0
Q16836	HADH	hydroxyacyl-CoA dehydrogenase	28.0734	Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Lysine metabolism	1	0	0	0
P24752	ACAT1	acetyl-CoA acetyltransferase 1	28.0146	Matrix	Metabolism > Carbohydrate metabolism > Ketone metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism	1	0	0	0
Q96EH3	MALSU1	mitochondrial assembly of ribosomal large subunit 1	27.9861	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly	1	0	0	0
O76031	CLPX	caseinolytic mitochondrial matrix peptidase chaperone subunit X	27.9372	Matrix	Protein import, sorting and homeostasis > Protein homeostasis > Proteases	1	0	0	0
Q9BYD3	MRPL4	mitochondrial ribosomal protein L4	27.8641	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
Q07021	C1QBP	complement C1q binding protein	27.8211	Matrix	Signaling > Immune response	1	0	0	0
Q5JRX3	PITRM1	pitrilysin metallopeptidase 1	27.8125	Matrix	Protein import, sorting and homeostasis > Protein homeostasis > Proteases	1	0	0	0
Q7Z7F7	MRPL55	mitochondrial ribosomal protein L55	27.7157	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
Q6IN84	MRM1	mitochondrial rRNA methyltransferase 1	27.7075	Matrix	Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications	1	0	0	0
Q9BV79	MECR	mitochondrial trans-2-enoyl-CoA reductase	27.6896	Matrix	Metabolism > Lipid metabolism > Type II fatty acid synthesis	1	0	0	0
Q9H9J2	MRPL44	mitochondrial ribosomal protein L44	27.6748	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
Q6YN16	HSDL2	hydroxysteroid dehydrogenase like 2	27.6655	Matrix	0	1	0	0	0
O60783	MRPS14	mitochondrial ribosomal protein S14	27.6264	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
Q8N5M1	ATPAF2	ATP synthase mitochondrial F1 complex assembly factor 2	27.4512	Matrix	OXPHOS > Complex V > CV assembly factors | OXPHOS > OXPHOS assembly factors	1	0	0	0
O00411	POLRMT	RNA polymerase mitochondrial	27.372	Matrix	Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial central dogma > mtRNA metabolism > Transcription	1	0	0	0
Q9H1K1	ISCU	iron-sulfur cluster assembly enzyme	27.3227	Matrix	Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins	1	0	0	0
Q8WWV3	RTN4IP1	reticulon 4 interacting protein 1	27.2801	Matrix	0	1	0	0	0
Q9ULD0	OGDHL	oxoglutarate dehydrogenase L	27.2563	Matrix	Metabolism > Carbohydrate metabolism > TCA cycle	1	0	0	0
O14874	BCKDK	branched chain keto acid dehydrogenase kinase	27.1808	Matrix	Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex	1	0	0	0
Q969S9	GFM2	GTP dependent ribosome recycling factor mitochondrial 2	27.1233	Matrix	Mitochondrial central dogma > Translation > Translation factors	1	0	0	0
Q8IVS2	MCAT	malonyl-CoA-acyl carrier protein transacylase	26.9414	Matrix	Metabolism > Lipid metabolism > Type II fatty acid synthesis	1	0	0	0
Q5T440	IBA57	iron-sulfur cluster assembly factor IBA57	26.9414	Matrix	Metabolism > Metals and cofactors > Fe-S cluster biosynthesis	1	0	0	0
P51398	DAP3	death associated protein 3	26.8817	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
A6NFY7	SDHAF1	succinate dehydrogenase complex assembly factor 1	26.7868	Matrix	OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors	1	0	0	0
Q9Y2R5	MRPS17	mitochondrial ribosomal protein S17	26.7669	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
Q8IWW8	ADHFE1	alcohol dehydrogenase iron containing 1	26.7588	Matrix	Metabolism > Amino acid metabolism > GABA metabolism	1	0	0	0
Q9Y697	NFS1	NFS1 cysteine desulfurase	26.7525	Matrix	Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins	1	0	0	0
Q9NRX2	MRPL17	mitochondrial ribosomal protein L17	26.6519	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
Q9BSH4	TACO1	translational activator of cytochrome c oxidase I	26.649	Matrix	Mitochondrial central dogma > Translation > Translation factors | OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors	1	0	0	0
Q8NI37	PPTC7	protein phosphatase targeting COQ7	26.5342	Matrix	Signaling	1	0	0	0
Q9Y3B7	MRPL11	mitochondrial ribosomal protein L11	26.5037	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
Q9BYD1	MRPL13	mitochondrial ribosomal protein L13	26.3504	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
P55809	OXCT1	3-oxoacid CoA-transferase 1	26.3333	Matrix	Metabolism > Carbohydrate metabolism > Ketone metabolism	1	0	0	0
Q15119	PDK2	pyruvate dehydrogenase kinase 2	26.3227	Matrix	Metabolism > Carbohydrate metabolism > Pyruvate metabolism	1	0	0	0
P13196	ALAS1	5'-aminolevulinate synthase 1	26.3146	Matrix	Metabolism > Metals and cofactors > Heme synthesis and processing	1	0	0	0
O75394	MRPL33	mitochondrial ribosomal protein L33	26.309	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
Q9Y2Z2	MTO1	mitochondrial tRNA translation optimization 1	26.3081	Matrix	Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications | Metabolism > Vitamin metabolism > Folate and 1-C metabolism	1	0	0	0
O43766	LIAS	lipoic acid synthetase	26.2921	Matrix	Metabolism > Lipid metabolism > Lipoate insertion | Metabolism > Metals and cofactors > Fe-S-containing proteins	1	0	0	0
Q96I99	SUCLG2	succinate-CoA ligase GDP-forming subunit beta	26.2777	Matrix	Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing	1	0	0	0
P10109	FDX1	ferredoxin 1	26.2764	Matrix	Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis | Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins | Metabolism > Vitamin metabolism > Vitamin D metabolism	1	0	0	0
Q9Y2Q9	MRPS28	mitochondrial ribosomal protein S28	26.2202	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
Q13011	ECH1	enoyl-CoA hydratase 1	25.9632	Matrix	Metabolism > Lipid metabolism	1	0	0	0
O75879	GATB	glutamyl-tRNA amidotransferase subunit B	25.9072	Matrix	Mitochondrial central dogma > Translation > mt-tRNA synthetases	1	0	0	0
O75616	ERAL1	Era like 12S mitochondrial rRNA chaperone 1	25.6968	Matrix	Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly	1	0	0	0
Q13084	MRPL28	mitochondrial ribosomal protein L28	25.5595	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
P43897	TSFM	Ts translation elongation factor, mitochondrial	25.5449	Matrix	Mitochondrial central dogma > Translation > Translation factors	1	0	0	0
Q16595	FXN	frataxin	25.5447	Matrix	Metabolism > Metals and cofactors > Fe-S cluster biosynthesis	1	0	0	0
Q9UMS0	NFU1	NFU1 iron-sulfur cluster scaffold	25.5447	Matrix	Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins	1	0	0	0
Q9Y2Z4	YARS2	tyrosyl-tRNA synthetase 2	25.5447	Matrix	Mitochondrial central dogma > Translation > mt-tRNA synthetases	1	0	0	0
Q7Z2W9	MRPL21	mitochondrial ribosomal protein L21	25.5447	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
P30038	ALDH4A1	aldehyde dehydrogenase 4 family member A1	25.5079	Matrix	Metabolism > Amino acid metabolism > Proline metabolism | Metabolism > Amino acid metabolism > Glyoxylate metabolism	1	0	0	0
P45954	ACADSB	acyl-CoA dehydrogenase short/branched chain	25.3309	Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism	1	0	0	0
P82933	MRPS9	mitochondrial ribosomal protein S9	25.2372	Matrix	Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
Q9P015	MRPL15	mitochondrial ribosomal protein L15	25.0806	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
Q96A35	MRPL24	mitochondrial ribosomal protein L24	25.0642	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
P10809	HSPD1	heat shock protein family D (Hsp60) member 1	25.0621	Matrix	Protein import, sorting and homeostasis > Protein homeostasis > Chaperones	1	0	0	0
Q9UIJ7	AK3	adenylate kinase 3	25.0021	Matrix	Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing	1	0	0	0
Q99797	MIPEP	mitochondrial intermediate peptidase	24.9354	Matrix	Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases	1	0	0	0
